student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
16,stress.csv,1,64,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",64,0,128,0.0,2025-02-18,2025-05-05
17,daily_questions.csv,1,116,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",116,0,232,0.0,2025-02-24,2025-06-21
17,sleep.csv,1,14,"timestamp, overall_score, deep_sleep_in_minutes",14,0,28,0.0,2025-02-28,2025-06-09
17,activity_level.csv,1,35659,"timestamp, level",81,0,35659,0.0,2025-02-27,2025-06-10
17,steps.csv,1,10185,"timestamp, steps",80,0,10185,0.0,2025-02-27,2025-06-10
17,hrv.csv,1,1355,"timestamp, rmssd, coverage, low_frequency, high_frequency",19,0,5420,0.0,2025-02-28,2025-06-05
17,oxygen.csv,1,11265,"timestamp, value",38,0,11265,0.0,2025-02-27,2025-06-10
17,stress.csv,1,17,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",17,0,34,0.0,2025-03-05,2025-06-09
18,daily_questions.csv,1,83,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",82,0,166,0.0,2025-02-24,2025-06-09
18,sleep.csv,1,56,"timestamp, overall_score, deep_sleep_in_minutes",54,0,112,0.0,2025-02-26,2025-06-09
18,activity_level.csv,1,50607,"timestamp, level",89,0,50607,0.0,2025-02-25,2025-06-09
18,steps.csv,1,16382,"timestamp, steps",87,0,16382,0.0,2025-02-25,2025-06-09
18,hrv.csv,1,4672,"timestamp, rmssd, coverage, low_frequency, high_frequency",60,0,18688,0.0,2025-02-25,2025-06-09
18,oxygen.csv,1,32064,"timestamp, value",82,0,32064,0.0,2025-02-25,2025-06-09
18,stress.csv,1,49,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",49,0,98,0.0,2025-02-25,2025-06-09
19,daily_questions.csv,1,116,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",114,0,232,0.0,2025-02-19,2025-06-23
19,sleep.csv,1,49,"timestamp, overall_score, deep_sleep_in_minutes",49,0,98,0.0,2025-02-26,2025-05-08
19,activity_level.csv,1,38396,"timestamp, level",66,0,38396,0.0,2025-02-25,2025-05-08
19,steps.csv,1,11416,"timestamp, steps",64,0,11416,0.0,2025-02-25,2025-05-08
19,hrv.csv,1,4556,"timestamp, rmssd, coverage, low_frequency, high_frequency",50,0,18224,0.0,2025-02-25,2025-05-07
19,oxygen.csv,1,27540,"timestamp, value",60,0,27540,0.0,2025-02-25,2025-05-08
19,stress.csv,1,46,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",46,0,92,0.0,2025-02-25,2025-05-08
